שם ספר,TextSource,נתיב,RavMechaber,ForcedBookName,MixedDisplay,,PasukIndMode,UniqueId,,HiddenFromIndex,[Books\000_ACCESORIES\000_!WELLCOME.txt_תורת אמת],SearchInTitles,GroupId,שם הספר,LastLevelIndex,,SpecialTitle,FilesGotFrom,Comments,PutNewLinesAsIs,ChainFolderName,Haskamot,,CosmeticsType
ילקוט שמעוני - איוב,אתר דעת,Books\000_HORADOT\250_SHIMONI\029_shimoni_iyov.txt,,,0,,0,3109,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - שיר השירים,אתר דעת,Books\000_HORADOT\250_SHIMONI\030_shimoni_shir_hashirim.txt,,,0,,0,3110,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - רות,אתר דעת,Books\000_HORADOT\250_SHIMONI\031_shimoni_ruth.txt,,,0,,0,3111,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - איכה,אתר דעת,Books\000_HORADOT\250_SHIMONI\032_shimoni_eicha.txt,,,0,,0,3112,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - קהלת,אתר דעת,Books\000_HORADOT\250_SHIMONI\033_shimoni_kohelet.txt,,,0,,0,3113,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - אסתר,אתר דעת,Books\000_HORADOT\250_SHIMONI\034_shimoni_ester.txt,,,0,,0,3114,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - דניאל,אתר דעת,Books\000_HORADOT\250_SHIMONI\035_shimoni_daniel.txt,,,0,,0,3115,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - עזרא,אתר דעת,Books\000_HORADOT\250_SHIMONI\036_shimoni_ezra.txt,,,0,,0,3116,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - נחמיה,אתר דעת,Books\000_HORADOT\250_SHIMONI\037_shimoni_nechemya.txt,,,0,,0,3117,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - דברי הימים א,אתר דעת,Books\000_HORADOT\250_SHIMONI\038_shimoni_divrei_a.txt,,,0,,0,3118,,1,,1,,,2,,,,,1,1,,,#bp
ילקוט שמעוני - דברי הימים ב,אתר דעת,Books\000_HORADOT\250_SHIMONI\039_shimoni_divrei_b.txt,,,0,,0,3119,,1,,1,,,2,,,,,1,1,,,#bp
בראשית,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\a01_Genesis.txt,,מנוקד,0,,0,760,,,,1,b1,,2,,,,,0,1,,,#nik
בראשית - עם טעמים,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\a01__Genesis.txt,,עם טעמים,0,,0,1683,,0,,1,b1,,2,,,,,0,1,,,#nik
בראשית - ללא ניקוד,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\b01_Genesis.txt,,ללא ניקוד,0,,0,721,,0,,0,b1,,2,,,,,0,1,,,#ip5
בראשית - רש''י,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\c_RASHI_BERESHIT_L1.txt,,רש''י,0,,0,1418,,0,,0,b1,,2,,,,,0,1,,,#ip5
"בראשית - רש""י (ב)",ר' שגיב מחפוד שליט''א,Books\001_TORA\01_BERESHIT\c_RASHI_BERESHIT_OLD.txt,,רש''י - ללא קישור ש''ח,0,,0,1873,,0,,0,b1,,2,,,,,0,1,,,#ip5
בראשית - שפתי חכמים,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\c_siftei_1.txt,,שפתי חכמים,0,,0,1861,,0,,1,b1,,2,,,,,1,1,,,#ip5
בראשית - רמב''ן,ויקיטקסט,Books\001_TORA\01_BERESHIT\d_ramban_bereshit.txt,,רמב''ן,0,,0,1583,,0,,0,b1,,2,,,,,1,1,,,
בראשית - תרגום יונתן,ויקיטקסט,Books\001_TORA\01_BERESHIT\e01_Genesis.txt,,תרגום יונתן,0,,0,1588,,0,,0,b1,,2,,,,,1,1,,,#nik
בראשית - אור החיים,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\f_OrHachaim.txt,,אור החיים,0,,0,1608,,0,,1,b1,,2,,,,,1,1,,,#ip5
בראשית - אבן עזרא,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\g_EbenEzra.txt,,אבן עזרא,0,,0,1613,,0,,1,b1,,2,,,,,1,1,,,
בראשית - בעל הטורים,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\h_BaalHaturim.txt,,בעל הטורים,0,,0,1618,,0,,1,b1,,2,,,,,1,1,,,
בראשית - תרגום אונקלוס,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\i_onqelus.txt,,תרגום אונקלוס,0,,0,1623,,0,,1,b1,,2,,,,,1,1,,,#nik
בראשית - ספורנו,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\j_sforno.txt,,ספורנו,0,,0,1646,,0,,1,b1,,2,,,,,1,1,,,
בראשית - כלי יקר,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\k_keli_yakar1.txt,,כלי יקר,0,,0,1856,,0,,1,b1,,2,,,,,1,1,,,
בראשית - דעת זקנים,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\m_daatzkenim1.txt,,דעת זקנים,0,,0,2513,,0,,1,,,2,,,,,1,1,,,
מדרש רבה - חומש בראשית,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\w_raba1.txt,,מדרש רבה,0,,0,1633,,0,,1,,,2,,,,,1,1,,,#nik
מדרש תנחומא - בראשית,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\w_tanchuma1.txt,,מדרש תנחומא,0,,0,1988,,0,,1,,,1,,,,,1,1,,,#bp
ילקוט שמעוני - בראשית,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\w_ts_shimoni_bereshit.txt,,ילקוט שמעוני,0,,0,5109,,0,,1,,,2,,,,,1,1,,,#bp
בראשית - רש''י ושפתי חכמים,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\x2_Interleave.txt,,עם רש''י ושפתי חכמים,2,,0,1866,,2 only on online,,0 #rep,,,2,,,,,1,1,,,#nik
בראשית - מקרא ותרגום,ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\x_Interleave.txt,,שנים מקרא ואחד תרגום,2,,0,1628,,0,,0 #rep,,,2,,,,,1,1,,,#nik
בראשית - מקרא ותרגום (ט),ר' פנחס ראובן שליט''א,Books\001_TORA\01_BERESHIT\x_Interleave2.txt,,שנים מקרא ואחד תרגום - טעמים,2,,0,1722,,0,,0 #rep,,,2,,,,,1,1,,,#nik
חק לישראל - בראשית,ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א<BR> ול-  J. Alan Groves Center -  תחת תנאי רשיון CC-2.5,Books\001_TORA\01_BERESHIT\y_hok10.txt,,חק לישראל,0,,0,1670,,0,,1,hok1,,2,,,,,1,1,,,#nik
חק לישראל - בראשית  (ט),ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א<BR> ול-  J. Alan Groves Center -  תחת תנאי רשיון CC-2.5,Books\001_TORA\01_BERESHIT\y_hok11.txt,,חק לישראל עם טעמים,0,,0,1727,,0,,1,hok1,,2,,,,,1,1,,,#bp
בראשית,ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א,Books\001_TORA\01_BERESHIT\z_Interleave.txt,,תצוגה משולבת,2,,0,1424,,0,,0 #rep,b1,,2,,,,,1,1,,,#nik
בראשית (ט),ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א,Books\001_TORA\01_BERESHIT\z_Interleave2.txt,,תצוגה משולבת עם טעמים,2,,0,1733,,0,,0 #rep,b1,,2,,,,,1,1,,,#nik
שמות,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\a02_Exodus.txt,,מנוקד,0,,0,761,,0,,0,b2,,2,,,,,0,1,,,
שמות  -עם טעמים,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\a02__Exodus.txt,,עם טעמים,0,,0,1684,,0,,1,b2,,2,,,,,0,1,,,
שמות  - ללא ניקוד,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\b02_Exodus.txt,,ללא ניקוד,0,,0,722,,0,,0,b2,,2,,,,,0,1,,,
שמות - רש''י,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\c_RASHI_SHEMOT_L1.txt,,רש''י,0,,0,1419,,0,,0,b2,,2,,,,,0,1,,,
שמות - רש''י (ב),ר' שגיב מחפוד שליט''א,Books\001_TORA\02_SHEMOT\c_RASHI_SHEMOT_OLD.txt,,רש''י - ללא קישור ש''ח,0,,0,1874,,0,,0,b2,,2,,,,,0,1,,,
שמות - שפתי חכמים,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\c_siftei_2.txt,,שפתי חכמים,0,,0,1862,,0,,1,b2,,2,,,,,1,1,,,
שמות - רמב''ן,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\d_ramban_shemot.txt,,רמב''ן,0,,0,1584,,0,,0,b2,,2,,,,,1,1,,,
שמות - תרגום יונתן,ויקיטקסט,Books\001_TORA\02_SHEMOT\e02_Exodus.txt,,תרגום יונתן,0,,0,1589,,0,,0,b2,,2,,,,,1,1,,,
שמות - אור החיים,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\f_OrHachaim.txt,,אור החיים,0,,0,1609,,0,,1,b2,,2,,,,,1,1,,,
שמות - אבן עזרא,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\g_EbenEzra.txt,,אבן עזרא,0,,0,1614,,0,,1,b2,,2,,,,,1,1,,,
שמות - בעל הטורים,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\h_BaalHaturim.txt,,בעל הטורים,0,,0,1619,,0,,1,b2,,2,,,,,1,1,,,
שמות - תרגום אונקלוס,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\i_onqelus.txt,,תרגום אונקלוס,0,,0,1624,,0,,1,b2,,2,,,,,1,1,,,
שמות - ספורנו,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\j_sforno.txt,,ספורנו,0,,0,1647,,0,,1,b2,,2,,,,,1,1,,,
שמות - כלי יקר,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\k_keli_yakar2.txt,,כלי יקר,0,,0,1857,,0,,1,b2,,2,,,,,1,1,,,
שמות - דעת זקנים,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\m_daatzkenim2.txt,,דעת זקנים,0,,0,2517,,0,,1,,,2,,,,,1,1,,,
מדרש רבה - חומש שמות,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\w_raba2.txt,,מדרש רבה,0,,0,1634,,0,,1,,,2,,,,,1,1,,,
מדרש תנחומא - שמות,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\w_tanchuma2.txt,,מדרש תנחומא,0,,0,1989,,0,,1,,,0,,,,,1,1,,,
ילקוט שמעוני - שמות,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\w_ts_shimoni_shemot.txt,,ילקוט שמעוני,0,,0,5110,,0,,1,,,2,,,,,1,1,,,
שמות - רש''י ושפתי חכמים,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\x2_Interleave.txt,,עם רש''י ושפתי חכמים,2,,0,1867,,2 only on online,,0 #rep,,,2,,,,,1,1,,,#nik
שמות - מקרא ותרגום,ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\x_Interleave.txt,,שנים מקרא ואחד תרגום,2,,0,1629,,0,,0 #rep,,,2,,,,,1,1,,,
שמות - מקרא ותרגום (ט),ר' פנחס ראובן שליט''א,Books\001_TORA\02_SHEMOT\x_Interleave2.txt,,שנים מקרא ואחד תרגום - טעמים,2,,0,1723,,0,,0 #rep,,,2,,,,,1,1,,,
חק לישראל - שמות,ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א<BR> ול-  J. Alan Groves Center -  תחת תנאי רשיון CC-2.5,Books\001_TORA\02_SHEMOT\y_hok20.txt,,חק לישראל,0,,0,1671,,0,,1,hok2,,2,,,,,1,1,,,
חק לישראל - שמות  (ט),ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א<BR> ול-  J. Alan Groves Center -  תחת תנאי רשיון CC-2.5,Books\001_TORA\02_SHEMOT\y_hok21.txt,,חק לישראל עם טעמים,0,,0,1728,,0,,1,hok2,,2,,,,,1,1,,,
שמות,ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א,Books\001_TORA\02_SHEMOT\z_Interleave.txt,,תצוגה משולבת,2,,0,1425,,0,,0#rep,b2,,2,,,,,1,1,,,
שמות (ט),ר' פנחס ראובן שליט''א ול ר' שגיב מחפוד שליט''א,Books\001_TORA\02_SHEMOT\z_Interleave2.txt,,תצוגה משולבת עם טעמים,2,,0,1734,,0,,0#rep,b2,,2,,,,,1,1,,,
