קיים כבר בספריא,שם הספר,שם הקובץ,קטגורייה,auto,noc
FALSE,בבא קמא,2031,נזיקין,,1
FALSE,בבא מציעא,2032,נזיקין,,1
FALSE,בבא בתרא,2033,נזיקין,,1
FALSE,סנהדרין,2034,נזיקין,,1
FALSE,מכות,2035,נזיקין,,1
FALSE,שבועות,2036,נזיקין,,1
FALSE,עדיות,2037,נזיקין,,1
FALSE,עבודה זרה,2038,נזיקין,,1
FALSE,אבות,2039,נזיקין,,1
FALSE,הוריות,2040,נזיקין,,1
FALSE,זבחים,2041,קדשים,,1
FALSE,מנחות,2042,קדשים,,1
FALSE,חולין,2043,קדשים,,1
FALSE,בכורות,2044,קדשים,,1
FALSE,ערכין,2045,קדשים,,1
FALSE,תמורה,2046,קדשים,,1
FALSE,כריתות,2047,קדשים,,1
FALSE,מעילה,2048,קדשים,,1
FALSE,תמיד,2049,קדשים,,1
FALSE,מידות,2050,קדשים,,1
FALSE,קינים,2051,קדשים,,1
FALSE,כלים,2052,טהרות,,1
FALSE,אהלות,2053,טהרות,,1
FALSE,נגעים,2054,טהרות,,1
FALSE,פרה,2055,טהרות,,1
FALSE,טהרות,2056,טהרות,,1
FALSE,מקואות,2057,טהרות,,1
FALSE,נידה,2058,טהרות,,1
FALSE,מכשירין,2059,טהרות,,1
FALSE,זבים,2060,טהרות,,1
FALSE,טבול יום,2061,טהרות,,1
FALSE,ידיים,2062,טהרות,,1
FALSE,עוקצים,2063,טהרות,,1
FALSE,בבלי,,גמרא,,
FALSE,ירושלמי,,גמרא,,
FALSE,בבלי - חברותא,,גמרא,,
FALSE,תלמוד בבלי - ברכות,1450001,בבלי,,1
FALSE,תלמוד בבלי - שבת,1450002,בבלי,,1
FALSE,תלמוד בבלי - עירובין,450003,בבלי,,1
FALSE,תלמוד בבלי - פסחים,450004,בבלי,,1
FALSE,תלמוד ירושלמי - שקלים,450005,בבלי,,1
FALSE,תלמוד בבלי - יומא,450006,בבלי,,1
FALSE,תלמוד בבלי - סוכה,450007,בבלי,,1
FALSE,תלמוד בבלי - ביצה,450008,בבלי,,1
FALSE,תלמוד בבלי - ראש השנה,450009,בבלי,,1
FALSE,תלמוד בבלי - תענית,450010,בבלי,,1
FALSE,תלמוד בבלי - מגילה,450011,בבלי,,1
FALSE,תלמוד בבלי - מועד קטן,450012,בבלי,,1
FALSE,תלמוד בבלי - חגיגה,450013,בבלי,,1
FALSE,תלמוד בבלי - יבמות,450014,בבלי,,1
FALSE,תלמוד בבלי - כתובות,450015,בבלי,,1
FALSE,תלמוד בבלי - נדרים,450016,בבלי,,1
FALSE,תלמוד בבלי - נזיר,450017,בבלי,,1
FALSE,תלמוד בבלי - סוטה,450018,בבלי,,1
FALSE,תלמוד בבלי - גיטין,450019,בבלי,,1
FALSE,תלמוד בבלי - קידושין,450020,בבלי,,1
FALSE,תלמוד בבלי - בבא קמא,450021,בבלי,,1
FALSE,תלמוד בבלי - בבא מציעא,450022,בבלי,,1
FALSE,תלמוד בבלי - בבא בתרא,450023,בבלי,,1
FALSE,תלמוד בבלי - סנהדרין,450024,בבלי,,1
FALSE,תלמוד בבלי - מכות,450025,בבלי,,1
FALSE,תלמוד בבלי - שבועות,450026,בבלי,,1
FALSE,תלמוד בבלי - עבודה זרה,450027,בבלי,,1
FALSE,תלמוד בבלי - הוריות,450028,בבלי,,1
FALSE,תלמוד בבלי - עדיות,450029,בבלי,,1
FALSE,תלמוד בבלי - זבחים,450030,בבלי,,1
FALSE,תלמוד בבלי - מנחות,450031,בבלי,,1
FALSE,תלמוד בבלי - חולין,450032,בבלי,,1
FALSE,תלמוד בבלי - בכורות,450033,בבלי,,1
FALSE,תלמוד בבלי - ערכין,450034,בבלי,,1
FALSE,תלמוד בבלי - תמורה,450035,בבלי,,1
FALSE,תלמוד בבלי - כריתות,450036,בבלי,,1
FALSE,תלמוד בבלי - מעילה,450037,בבלי,,1
FALSE,תלמוד בבלי - תמיד,450038,בבלי,,1
FALSE,תלמוד בבלי - נדה,450039,בבלי,,1
FALSE,זרעים,,ירושלמי,,
FALSE,מועד,,ירושלמי,,
FALSE,נשים,,ירושלמי,,
FALSE,נזיקין,,ירושלמי,,
FALSE,טהרות,,ירושלמי,,
FALSE,ברכות,,זרעים,,
FALSE,פיאה,,זרעים,,
FALSE,דמאי,,זרעים,,
FALSE,כלאיים,,זרעים,,
FALSE,שביעית,,זרעים,,
FALSE,תרומות,,זרעים,,
FALSE,מעשרות,,זרעים,,
FALSE,מעשר שני,,זרעים,,
FALSE,חלה,,זרעים,,
FALSE,עורלה,,זרעים,,
FALSE,ביכורים,,זרעים,,
FALSE,פרק א,490039,ברכות,,1
FALSE,פרק ב,490040,ברכות,,1
FALSE,פרק ג,490041,ברכות,,1
FALSE,פרק ד,490042,ברכות,,1
FALSE,פרק ה,490043,ברכות,,1
FALSE,פרק ו,490044,ברכות,,1
FALSE,פרק ז,490045,ברכות,,1
FALSE,פרק ח,490046,ברכות,,1
FALSE,פרק ט,490047,ברכות,,1
FALSE,פרק א,490207,פיאה,,1
FALSE,פרק ב,490208,פיאה,,1
FALSE,פרק ג,490209,פיאה,,1
FALSE,פרק ד,490210,פיאה,,1
FALSE,פרק ה,490211,פיאה,,1
FALSE,פרק ו,490212,פיאה,,1
FALSE,פרק ז,490213,פיאה,,1
FALSE,פרק ח,490214,פיאה,,1
FALSE,פרק א,490057,דמאי,,1
