original path,target path,ForcedBookName,SearchInTitles,LastLevelIndex,CosmeticsType,PasukIndMode,HiddenFromIndex,FilesGotFrom,PutNewLinesAsIs,DisplayName,UniqueId,MixedSources,WeaveLevel,SpecialTitle,MixedDisplay,TextSource,GroupId,BranchName,Comments,RavMechaber,ChainFolderName
080_poskim_ahronim/050_aruch_hasulchan1/013hlcot_brcot.obk,פוסקים אחרונים/ערוך השולחן - אורח חיים/הלכות ברכות.txt,,,1,,,,,,הלכות ברכות,158213,,,,,''ויקיטקסט'',,,,,
080_poskim_ahronim/040_msnh_brorh/11_biaor_hlch_hlk_h.obk,פוסקים אחרונים/משנה ברורה/ביאור הלכה - חלק ה.txt,,,,,,,,,ביאור הלכה - חלק ה,4015,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/04_msnh_brorh_hlk_d.obk,פוסקים אחרונים/משנה ברורה/משנה ברורה - חלק ד.txt,,,,,,,,,משנה ברורה - חלק ד,4008,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/06_msnh_brorh_hlk_o.obk,פוסקים אחרונים/משנה ברורה/משנה ברורה - חלק ו.txt,,,,,,,,,משנה ברורה - חלק ו,4010,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/02_msnh_brorh_hlk_b.obk,פוסקים אחרונים/משנה ברורה/משנה ברורה - חלק ב.txt,,,,,,,,,משנה ברורה - חלק ב,4006,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/12_biaor_hlch_hlk_o.obk,פוסקים אחרונים/משנה ברורה/ביאור הלכה - חלק ו.txt,,,,,,,,,ביאור הלכה - חלק ו,4016,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/09_biaor_hlch_hlk_g.obk,פוסקים אחרונים/משנה ברורה/ביאור הלכה - חלק ג.txt,,,,,,,,,ביאור הלכה - חלק ג,4013,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/01_msnh_brorh_hlk_a.obk,פוסקים אחרונים/משנה ברורה/משנה ברורה - חלק א.txt,,,,,,,,,משנה ברורה - חלק א,4005,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/10_biaor_hlch_hlk_d.obk,פוסקים אחרונים/משנה ברורה/ביאור הלכה - חלק ד.txt,,,,,,,,,ביאור הלכה - חלק ד,4014,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/07_biaor_hlch_hlk_a.obk,פוסקים אחרונים/משנה ברורה/ביאור הלכה - חלק א.txt,,,,,,,,,ביאור הלכה - חלק א,4011,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/05_msnh_brorh_hlk_h.obk,פוסקים אחרונים/משנה ברורה/משנה ברורה - חלק ה.txt,,,,,,,,,משנה ברורה - חלק ה,4009,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/08_biaor_hlch_hlk_b.obk,פוסקים אחרונים/משנה ברורה/ביאור הלכה - חלק ב.txt,,,,,,,,,ביאור הלכה - חלק ב,4012,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/040_msnh_brorh/03_msnh_brorh_hlk_g.obk,פוסקים אחרונים/משנה ברורה/משנה ברורה - חלק ג.txt,,,,,,,,,משנה ברורה - חלק ג,4007,,,,,פורטל סמיכה לרבנות,,,,,
080_poskim_ahronim/101_pnini_halacha/04_Shabbat.obk,פוסקים אחרונים/פניני הלכה/שבת.txt,,,,,,,,,שבת,990004,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/12_LikutimC.obk,פוסקים אחרונים/פניני הלכה/ליקוטים ג.txt,,,,,,,,,ליקוטים ג,,,,,,,,,,,
080_poskim_ahronim/101_pnini_halacha/07_TfilatNashim.obk,פוסקים אחרונים/פניני הלכה/תפילת נשים.txt,,,,,,,,,תפילת נשים,990007,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/02_Pesach.obk,פוסקים אחרונים/פניני הלכה/פסח.txt,,,,,,,,,פסח,990002,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/11_LikutimB.obk,פוסקים אחרונים/פניני הלכה/ליקוטים ב.txt,,,,,,,,,ליקוטים ב,990011,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/08_Brachot.obk,פוסקים אחרונים/פניני הלכה/ברכות.txt,,,,,,,,,ברכות,990008,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/06_Tfila.obk,פוסקים אחרונים/פניני הלכה/תפילה.txt,,,,,,,,,תפילה,990006,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/09_IL.obk,פוסקים אחרונים/פניני הלכה/העם והארץ.txt,,,,,,,,,העם והארץ,990009,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/01_Moadim.obk,פוסקים אחרונים/פניני הלכה/מועדים.txt,,,,,,,,,מועדים,990001,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/05_Zmanim.obk,פוסקים אחרונים/פניני הלכה/זמנים.txt,,,,,,,,,זמנים,990005,,,,,הוצאת מכון הר-ברכה,,,,,
080_poskim_ahronim/101_pnini_halacha/03_Sukot.obk,פוסקים אחרונים/פניני הלכה/סוכות.txt,,,,,,,,,סוכות,990003,,,,,הוצאת מכון הר-ברכה,,,,,
