ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
2524,נתיבות שמואל - על התורה,"קושלביץ, שמואל בן צבי יהודה, -1962",ניו יורק,תשא,New York,1941,645,,,,,296.584(HULLIN) -- Talmud Bavli - Hiddushim; Pilpulim - Hullin.,,,"עה""ת"
2525,נוה שלום,"ישראלסון, שלום בן אשר",מילווקי,תרסה,Milwaukee,1905,121,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,"גאונים;רמב""ם"
2526,"נזר הקודש - פסחים, חולין, זבחים - מהדורא תנינא","רוזין, משה בן יהודה ליב",ניו יורק,תשיט,New York,1959,128,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,זבחים;חולין;מסכת;פסחים
2527,נזר יוסף - חלק ב,"גפן, טוביה, 1870-1970",אטלנטא,תשכג,Altona,1963,180,,,,,,,,הדרנים
2528,נזר יוסף - חלק א,"גפן, טוביה, 1870-1970",אטלנטא,תשיח,Altona,1958,99,,,,,,,,הדרנים
2529,"נדה, חלה, הדלקת הנר","מזאה, אליהו מרדכי",ניו יורק,תש,New York,1940,24,,,,,"296.563.3 -- Niddah, miqwe, women duties - Halakha.",,,הדלקת הנר;הלכה;חלה;יידיש;נדה;נשים
2530,נצני ניסן,"יבלונסקי, ניסן, 1877-1928",שיקגו,תרצ,Chicago,1930,178,,,,,תלמוד בבלי -- באורים,,,"סוגיות;שו""ת"
2531,,,,,,,,,,,,,,,
2532,נטפי נאומים,"לוינזון, יהודה",ניו יורק,תשג,New York,1943,188,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,דרשות
2533,נועם אפרים,"ברמן, אפרים",ניו יורק,תשח,New York,1948,224,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,"בראשית;דרשות;עה""ת;שמות"
2534,,,,,,,,,,,,,,,
2535,נועם שיח,"גרינבלט, יצחק בן יעקב אלעזר",פיעטרקוב,תרפה,Peitrikow,1925,33,,,,,"שטינמץ, צבי",,,גאונים;סידור
2536,,,,,,,,,,,,,,,
2537,"אוצר הש""ס - חלק א","ויליגר, מרדכי בן משה, -1995",ניו יורק,תשכב,New York,1962,344,,,,,,,,"אנציקלופידיה;על הש""ס"
2538,,,,,,,,,,,,,,,
2539,"אוצר הש""ס - חלק ב","ויליגר, מרדכי בן משה, -1995",ניו יורק,תשכב,New York,1962,324,,,,,"296.803 -- Mishna, Talmud, Midrash - Dictionaries, Encyclopedias, Concordances.",,,"אנציקלופדיה;על הש""ס"
2540,,,,,,,,,,,,,,,
2541,"אוצר הש""ס - חלק ג","ויליגר, מרדכי בן משה, -1995",ניו יורק,תשכב,New York,1962,406,,,,,"296.803 -- Mishna, Talmud, Midrash - Dictionaries, Encyclopedias, Concordances.",,,"אנציקלופדיה;על הש""ס"
2542,,,,,,,,,,,,,,,
2543,"אוצר הש""ס - חלק ד","ויליגר, מרדכי בן משה, -1995",ניו יורק,תשכב,New York,1962,278,,,,,"296.803 -- Mishna, Talmud, Midrash - Dictionaries, Encyclopedias, Concordances.",,,"אנציקלופדיה;על הש""ס"
2544,,,,,,,,,,,,,,,
2545,"אוצר הש""ס - חלק ה","ויליגר, מרדכי בן משה, -1995",ניו יורק,תשכב,New York,1962,380,,,,,"296.803 -- Mishna, Talmud, Midrash - Dictionaries, Encyclopedias, Concordances.",,,"אנציקלופדיה;על הש""ס"
2546,אהלי שם,"גוטליב, שמואל נח",פיעטרקוב,תרעב,Peitrikow,1912,23,,,,,933.721(092.2) -- Rabbis and Rabbinate - Collected biographies.,,,אונצייקלופידה;תולדות
2547,אהל יוסף,"פריד, יוסף אליהו בן יהודה ליב",ניו יורק,תרסג,New York,1903,82,,,,,"296.572(73)(090.4) -- Sheelot utshuvot, responsa - Aharonim - United States- 20th (twentieth) century",,,"שו""ת"
2548,אהל רחל,"ירחם, אהרן בן חיים יצחק, 1904-1968",ניו יורק,תשב,New York,1942,144,,,,,"משה בן נחמן, -- 1195-1270.חדושי הרמב""ן",,,"גיטין;כתובות;מסכת;נשלמת;קידושין;ראשונים;רמב""ן"
2549,Yohale Sarah,"Hirschowitz, Abraham Eber, 1840-1924",ניו יורק,תרפב,New York,1922,126,,,,,296.561 -- Halakha and poseqim after Joseph Caro - Comprehensive works.,,,גאונים;הלכה;נדה
2550,אמר ודברים,"בלום, שמואל בן ידידיה",ניו יורק,תרפג,New York,1923,193,,,,,אגדה - באורים,,,דרשות
2551,אורח מישרים - חלק א,"פאלייעוו, משה אהרן, 1888-1967",ניו יורק,תשל,New York,1970,352,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,סוגיות
2552,אורח מישרים - חלק ב,"פאלייעוו, משה אהרן, 1888-1967",ניו יורק,תשל,New York,1970,400,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,סוגיות
2553,אורח מישרים - חלק ג,"פאלייעוו, משה אהרן, 1888-1967",ניו יורק,תשל,New York,1970,384,,,,,"296.584 -- Talmud Bavli - Hiddushim; Pilpulim - Aharonim, 1600 -.",,,סוגיות
2554,אורח לחיים - מוסר,"לסין, יעקב משה, 1889-1975",ניו יורק,תשיב,New York,1952,508,,,,,,,,"מוסר;נ""ך"
2555,אורח מישור,"פאלייעוו, משה אהרן, 1888-1967",ניו יורק,תשט,New York,1949,543,,,,,חדושים ופלפולים,,,סוגיות
2556,אור האגדה - חלק ב,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשד,New York,1944,323,,,,,אגדה - באורים,,,גאונים;נזיקין;נשים
2557,אור חדש,"סלוצקי, אפרים זלמן",נוארק,תרצ,New York City,1930,64,,,,,חדושים ופלפולים,,,"גרמופון;חשמל;פונוגרף;שו""ת;אלקטרי;אבטומוביל;טלפון"
2558,אור חדש למטיפים,"איזנשטט, בנציון בן משה, 1873-1951",ניו יורק,תרעח,New York,1918,91,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,דרשות
2559,אור גאולת ישראל,"צ’רני, אהרן ראובן",באיון,תשכד,Bayonne,1964,420,,,,,"Charney, Aaron Reuben, -- 1888-1970",,,דרשות;ציונות
2560,אור האגדה - חלק א,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשב,New York,1942,319,,,,,"296.888 -- Midrash, Aggada - Commentaries.",,,"אגדות הש""ס;ברכות;גאונים"
2561,אור האגדה - חלק ג,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשו,New York,1946,333,,,,,אגדה - באורים,,,"אגדות הש""ס;טהרות;קדשים"
2562,אור המדות,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשח,New York,1948,363,,,,,296.421 -- Pirqe Avot - Commentaries in Hebrew.,,,אבות
2563,אור המקרא,"לאנגנער, אורי בן אברהם, 1896-1970",ניו יורק,תשיב,New York,1952,420,,,,,"296.45 -- Sermons, Derashot - Hebrew.",,,"דרשות;עה""ת"
2564,,,,,,,,,,,,,,,
