תאריך,מסכת,פרק,משנה,סימן,סעיף,ספר הלכה,עברי
15/02/18,יבמות,ה,ב-ג,שג,ג-ה,"שו""ע או""ח","ל שבט תשע""ח"
16/02/18,יבמות,ה,ד-ה,שג,ו-ח,"שו""ע או""ח","א אדר תשע""ח"
17/02/18,יבמות,ה-ו,ו-א,שג,ט-יא,"שו""ע או""ח","ב אדר תשע""ח"
18/02/18,יבמות,ו,ב-ג,שג,יב-יד,"שו""ע או""ח","ג אדר תשע""ח"
19/02/18,יבמות,ו,ד-ה,שג,טו-יז,"שו""ע או""ח","ד אדר תשע""ח"
20/02/18,יבמות,ו-ז,ו-א,שג,יח-כ,"שו""ע או""ח","ה אדר תשע""ח"
21/02/18,יבמות,ז,ב-ג,שג,כא-כג,"שו""ע או""ח","ו אדר תשע""ח"
22/02/18,יבמות,ז,ד-ה,שג,כד-כו,"שו""ע או""ח","ז אדר תשע""ח"
23/02/18,יבמות,ז-ח,ו-א,שג-ד,כז-ב,"שו""ע או""ח","ח אדר תשע""ח"
24/02/18,יבמות,ח,ב-ג,שד-ה,ג-ב,"שו""ע או""ח","ט אדר תשע""ח"
25/02/18,יבמות,ח,ד-ה,שה,ג-ה,"שו""ע או""ח","י אדר תשע""ח"
26/02/18,יבמות,ח-ט,ו-א,שה,ו-ח,"שו""ע או""ח","יא אדר תשע""ח"
27/02/18,יבמות,ט,ב-ג,שה,ט-יא,"שו""ע או""ח","יב אדר תשע""ח"
28/02/18,יבמות,ט,ד-ה,שה,יב-יד,"שו""ע או""ח","יג אדר תשע""ח"
01/03/18,יבמות,ט-י,ו-א,שה,טו-יז,"שו""ע או""ח","יד אדר תשע""ח"
02/03/18,יבמות,י,ב-ג,שה,יח-כ,"שו""ע או""ח","טו אדר תשע""ח"
03/03/18,יבמות,י,ד-ה,שה,כא-כג,"שו""ע או""ח","טז אדר תשע""ח"
04/03/18,יבמות,י,ו-ז,שו,א-ג,"שו""ע או""ח","יז אדר תשע""ח"
05/03/18,יבמות,י,ח-ט,שו,ד-ו,"שו""ע או""ח","יח אדר תשע""ח"
06/03/18,יבמות,יא,א-ב,שו,ז-ט,"שו""ע או""ח","יט אדר תשע""ח"
07/03/18,יבמות,יא,ג-ד,שו,י-יב,"שו""ע או""ח","כ אדר תשע""ח"
08/03/18,יבמות,יא,ה-ו,שו-ז,יג-א,"שו""ע או""ח","כא אדר תשע""ח"
09/03/18,יבמות,יא-יב,ז-א,שז,ב-ד,"שו""ע או""ח","כב אדר תשע""ח"
10/03/18,יבמות,יב,ב-ג,שז,ה-ז,"שו""ע או""ח","כג אדר תשע""ח"
11/03/18,יבמות,יב,ד-ה,שז,ח-י,"שו""ע או""ח","כד אדר תשע""ח"
12/03/18,יבמות,יב-יג,ו-א,שז,יא-יג,"שו""ע או""ח","כה אדר תשע""ח"
13/03/18,יבמות,יג,ב-ג,שז,יד-טז,"שו""ע או""ח","כו אדר תשע""ח"
14/03/18,יבמות,יג,ד-ה,שז,יז-יט,"שו""ע או""ח","כז אדר תשע""ח"
15/03/18,יבמות,יג,ו-ז,שז,כ-כב,"שו""ע או""ח","כח אדר תשע""ח"
16/03/18,יבמות,יג,ח-ט,שח,א-ג,"שו""ע או""ח","כט אדר תשע""ח"
17/03/18,יבמות,יג,י-יא,שח,ד-ו,"שו""ע או""ח","א ניסן תשע""ח"
18/03/18,יבמות,יג,יב-יג,שח,ז-ט,"שו""ע או""ח","ב ניסן תשע""ח"
19/03/18,יבמות,יד,א-ב,שח,י-יב,"שו""ע או""ח","ג ניסן תשע""ח"
20/03/18,יבמות,יד,ג-ד,שח,יג-טו,"שו""ע או""ח","ד ניסן תשע""ח"
21/03/18,יבמות,יד,ה-ו,שח,טז-יח,"שו""ע או""ח","ה ניסן תשע""ח"
22/03/18,יבמות,יד,ז-ח,שח,יט-כא,"שו""ע או""ח","ו ניסן תשע""ח"
23/03/18,יבמות,יד-טו,ט-א,שח,כב-כד,"שו""ע או""ח","ז ניסן תשע""ח"
24/03/18,יבמות,טו,ב-ג,שח,כה-כז,"שו""ע או""ח","ח ניסן תשע""ח"
25/03/18,יבמות,טו,ד-ה,שח,כח-ל,"שו""ע או""ח","ט ניסן תשע""ח"
26/03/18,יבמות,טו,ו-ז,שח,לא-לג,"שו""ע או""ח","י ניסן תשע""ח"
27/03/18,יבמות,טו,ח-ט,שח,לד-לו,"שו""ע או""ח","יא ניסן תשע""ח"
28/03/18,יבמות,טו-טז,י-א,שח,לז-לט,"שו""ע או""ח","יב ניסן תשע""ח"
29/03/18,יבמות,טז,ב-ג,שח,מ-מב,"שו""ע או""ח","יג ניסן תשע""ח"
30/03/18,יבמות,טז,ד-ה,שח,מג-מה,"שו""ע או""ח","יד ניסן תשע""ח"
31/03/18,יבמות,טז,ו-ז,שח,מו-מח,"שו""ע או""ח","טו ניסן תשע""ח"
01/04/18,כתובות,א,א-ב,שח,מט-נא,"שו""ע או""ח","טז ניסן תשע""ח"
02/04/18,כתובות,א,ג-ד,שח-ט,נב-ב,"שו""ע או""ח","יז ניסן תשע""ח"
03/04/18,כתובות,א,ה-ו,שט,ג-ה,"שו""ע או""ח","יח ניסן תשע""ח"
04/04/18,כתובות,א,ז-ח,שי,א-ג,"שו""ע או""ח","יט ניסן תשע""ח"
05/04/18,כתובות,א,ט-י,שי,ד-ו,"שו""ע או""ח","כ ניסן תשע""ח"
06/04/18,כתובות,ב,א-ב,שי,ז-ט,"שו""ע או""ח","כא ניסן תשע""ח"
07/04/18,כתובות,ב,ג-ד,שיא,א-ג,"שו""ע או""ח","כב ניסן תשע""ח"
08/04/18,כתובות,ב,ה-ו,שיא,ד-ו,"שו""ע או""ח","כג ניסן תשע""ח"
09/04/18,כתובות,ב,ז-ח,שיא,ז-ט,"שו""ע או""ח","כד ניסן תשע""ח"
10/04/18,כתובות,ב,ט-י,שיב,א-ג,"שו""ע או""ח","כה ניסן תשע""ח"
11/04/18,כתובות,ג,א-ב,שיב,ד-ו,"שו""ע או""ח","כו ניסן תשע""ח"
12/04/18,כתובות,ג,ג-ד,שיב,ז-ט,"שו""ע או""ח","כז ניסן תשע""ח"
13/04/18,כתובות,ג,ה-ו,שיב-ג,י-ב,"שו""ע או""ח","כח ניסן תשע""ח"
14/04/18,כתובות,ג,ז-ח,שיג,ג-ה,"שו""ע או""ח","כט ניסן תשע""ח"
15/04/18,כתובות,ג-ד,ט-א,שיג,ו-ח,"שו""ע או""ח","ל ניסן תשע""ח"
16/04/18,כתובות,ד,ב-ג,שיג-ד,ט-א,"שו""ע או""ח","א אייר תשע""ח"
17/04/18,כתובות,ד,ד-ה,שיד,ב-ד,"שו""ע או""ח","ב אייר תשע""ח"
18/04/18,כתובות,ד,ו-ז,שיד,ה-ז,"שו""ע או""ח","ג אייר תשע""ח"
19/04/18,כתובות,ד,ח-ט,שיד,ח-י,"שו""ע או""ח","ד אייר תשע""ח"
20/04/18,כתובות,ד,י-יא,שיד-טו,יא-א,"שו""ע או""ח","ה אייר תשע""ח"
21/04/18,כתובות,ד-ה,יב-א,שטו,ב-ד,"שו""ע או""ח","ו אייר תשע""ח"
22/04/18,כתובות,ה,ב-ג,שטו,ה-ז,"שו""ע או""ח","ז אייר תשע""ח"
23/04/18,כתובות,ה,ד-ה,שטו,ח-י,"שו""ע או""ח","ח אייר תשע""ח"
24/04/18,כתובות,ה,ו-ז,שטו,יא-יג,"שו""ע או""ח","ט אייר תשע""ח"
25/04/18,כתובות,ה,ח-ט,שטז,א-ג,"שו""ע או""ח","י אייר תשע""ח"
26/04/18,כתובות,ו,א-ב,שטז,ד-ו,"שו""ע או""ח","יא אייר תשע""ח"
27/04/18,כתובות,ו,ג-ד,שטז,ז-ט,"שו""ע או""ח","יב אייר תשע""ח"
28/04/18,כתובות,ו,ה-ו,שטז,י-יב,"שו""ע או""ח","יג אייר תשע""ח"
29/04/18,כתובות,ו-ז,ז-א,שיז,א-ג,"שו""ע או""ח","יד אייר תשע""ח"
30/04/18,כתובות,ז,ב-ג,שיז,ד-ו,"שו""ע או""ח","טו אייר תשע""ח"
01/05/18,כתובות,ז,ד-ה,שיז-ח,ז-ב,"שו""ע או""ח","טז אייר תשע""ח"
02/05/18,כתובות,ז,ו-ז,שיח,ג-ה,"שו""ע או""ח","יז אייר תשע""ח"
03/05/18,כתובות,ז,ח-ט,שיח,ו-ח,"שו""ע או""ח","יח אייר תשע""ח"
04/05/18,כתובות,ז-ח,י-א,שיח,ט-יא,"שו""ע או""ח","יט אייר תשע""ח"
05/05/18,כתובות,ח,ב-ג,שיח,יב-יד,"שו""ע או""ח","כ אייר תשע""ח"
06/05/18,כתובות,ח,ד-ה,שיח,טו-יז,"שו""ע או""ח","כא אייר תשע""ח"
07/05/18,כתובות,ח,ו-ז,שיח-ט,יח-א,"שו""ע או""ח","כב אייר תשע""ח"
08/05/18,כתובות,ח-ט,ח-א,שיט,ב-ד,"שו""ע או""ח","כג אייר תשע""ח"
09/05/18,כתובות,ט,ב-ג,שיט,ה-ז,"שו""ע או""ח","כד אייר תשע""ח"
10/05/18,כתובות,ט,ד-ה,שיט,ח-י,"שו""ע או""ח","כה אייר תשע""ח"
11/05/18,כתובות,ט,ו-ז,שיט,יא-יג,"שו""ע או""ח","כו אייר תשע""ח"
12/05/18,כתובות,ט,ח-ט,שיט,יד-טז,"שו""ע או""ח","כז אייר תשע""ח"
13/05/18,כתובות,י,א-ב,שיט-כ,יז-ב,"שו""ע או""ח","כח אייר תשע""ח"
14/05/18,כתובות,י,ג-ד,שכ,ג-ה,"שו""ע או""ח","כט אייר תשע""ח"
15/05/18,כתובות,י,ה-ו,שכ,ו-ח,"שו""ע או""ח","א סיון תשע""ח"
16/05/18,כתובות,יא,א-ב,שכ,ט-יא,"שו""ע או""ח","ב סיון תשע""ח"
17/05/18,כתובות,יא,ג-ד,שכ,יב-יד,"שו""ע או""ח","ג סיון תשע""ח"
18/05/18,כתובות,יא,ה-ו,שכ,טו-יז,"שו""ע או""ח","ד סיון תשע""ח"
19/05/18,כתובות,יב,א-ב,שכ,יח-כ,"שו""ע או""ח","ה סיון תשע""ח"
20/05/18,כתובות,יב,ג-ד,שכא,א-ג,"שו""ע או""ח","ו סיון תשע""ח"
21/05/18,כתובות,יג,א-ב,שכא,ד-ו,"שו""ע או""ח","ז סיון תשע""ח"
22/05/18,כתובות,יג,ג-ד,שכא,ז-ט,"שו""ע או""ח","ח סיון תשע""ח"
23/05/18,כתובות,יג,ה-ו,שכא,י-יב,"שו""ע או""ח","ט סיון תשע""ח"
24/05/18,כתובות,יג,ז-ח,שכא,יג-טו,"שו""ע או""ח","י סיון תשע""ח"
25/05/18,כתובות,יג,ט-י,שכא,טז-יח,"שו""ע או""ח","יא סיון תשע""ח"
26/05/18,כתובות-נדרים,יג-א,יא-א,שכא-ב,יט-ב,"שו""ע או""ח","יב סיון תשע""ח"
27/05/18,נדרים,א,ב-ג,שכב,ג-ה,"שו""ע או""ח","יג סיון תשע""ח"
28/05/18,נדרים,א-ב,ד-א,שכב-ג,ו-ב,"שו""ע או""ח","יד סיון תשע""ח"
29/05/18,נדרים,ב,ב-ג,שכג,ג-ה,"שו""ע או""ח","טו סיון תשע""ח"
30/05/18,נדרים,ב,ד-ה,שכג,ו-ח,"שו""ע או""ח","טז סיון תשע""ח"
31/05/18,נדרים,ג,א-ב,שכג-ד,ט-א,"שו""ע או""ח","יז סיון תשע""ח"
01/06/18,נדרים,ג,ג-ד,שכד,ב-ד,"שו""ע או""ח","יח סיון תשע""ח"
02/06/18,נדרים,ג,ה-ו,שכד,ה-ז,"שו""ע או""ח","יט סיון תשע""ח"
03/06/18,נדרים,ג,ז-ח,שכד,ח-י,"שו""ע או""ח","כ סיון תשע""ח"
04/06/18,נדרים,ג,ט-י,שכד,יא-יג,"שו""ע או""ח","כא סיון תשע""ח"
05/06/18,נדרים,ג-ד,יא-א,שכד-ה,יד-א,"שו""ע או""ח","כב סיון תשע""ח"
06/06/18,נדרים,ד,ב-ג,שכה,ב-ד,"שו""ע או""ח","כג סיון תשע""ח"
07/06/18,נדרים,ד,ד-ה,שכה,ה-ז,"שו""ע או""ח","כד סיון תשע""ח"
08/06/18,נדרים,ד,ו-ז,שכה,ח-י,"שו""ע או""ח","כה סיון תשע""ח"
09/06/18,נדרים,ד-ה,ח-א,שכה,יא-יג,"שו""ע או""ח","כו סיון תשע""ח"
10/06/18,נדרים,ה,ב-ג,שכה,יד-טז,"שו""ע או""ח","כז סיון תשע""ח"
11/06/18,נדרים,ה,ד-ה,שכו,א-ג,"שו""ע או""ח","כח סיון תשע""ח"
12/06/18,נדרים,ה-ו,ו-א,שכו,ד-ו,"שו""ע או""ח","כט סיון תשע""ח"
13/06/18,נדרים,ו,ב-ג,שכו,ז-ט,"שו""ע או""ח","ל סיון תשע""ח"
14/06/18,נדרים,ו,ד-ה,שכו,י-יב,"שו""ע או""ח","א תמוז תשע""ח"
15/06/18,נדרים,ו,ו-ז,שכו-ז,יג-ב,"שו""ע או""ח","ב תמוז תשע""ח"
16/06/18,נדרים,ו,ח-ט,שכז-ח,ג-א,"שו""ע או""ח","ג תמוז תשע""ח"
17/06/18,נדרים,ו-ז,י-א,שכח,ב-ד,"שו""ע או""ח","ד תמוז תשע""ח"
18/06/18,נדרים,ז,ב-ג,שכח,ה-ז,"שו""ע או""ח","ה תמוז תשע""ח"
19/06/18,נדרים,ז,ד-ה,שכח,ח-י,"שו""ע או""ח","ו תמוז תשע""ח"
20/06/18,נדרים,ז,ו-ז,שכח,יא-יג,"שו""ע או""ח","ז תמוז תשע""ח"
21/06/18,נדרים,ז,ח-ט,שכח,יד-טז,"שו""ע או""ח","ח תמוז תשע""ח"
22/06/18,נדרים,ח,א-ב,שכח,יז-יט,"שו""ע או""ח","ט תמוז תשע""ח"
23/06/18,נדרים,ח,ג-ד,שכח,כ-כב,"שו""ע או""ח","י תמוז תשע""ח"
24/06/18,נדרים,ח,ה-ו,שכח,כג-כה,"שו""ע או""ח","יא תמוז תשע""ח"
25/06/18,נדרים,ח-ט,ז-א,שכח,כו-כח,"שו""ע או""ח","יב תמוז תשע""ח"
26/06/18,נדרים,ט,ב-ג,שכח,כט-לא,"שו""ע או""ח","יג תמוז תשע""ח"
27/06/18,נדרים,ט,ד-ה,שכח,לב-לד,"שו""ע או""ח","יד תמוז תשע""ח"
28/06/18,נדרים,ט,ו-ז,שכח,לה-לז,"שו""ע או""ח","טו תמוז תשע""ח"
29/06/18,נדרים,ט,ח-ט,שכח,לח-מ,"שו""ע או""ח","טז תמוז תשע""ח"
30/06/18,נדרים,ט-י,י-א,שכח,מא-מג,"שו""ע או""ח","יז תמוז תשע""ח"
01/07/18,נדרים,י,ב-ג,שכח,מד-מו,"שו""ע או""ח","יח תמוז תשע""ח"
02/07/18,נדרים,י,ד-ה,שכח,מז-מט,"שו""ע או""ח","יט תמוז תשע""ח"
03/07/18,נדרים,י,ו-ז,שכט,א-ג,"שו""ע או""ח","כ תמוז תשע""ח"
04/07/18,נדרים,י-יא,ח-א,שכט,ד-ו,"שו""ע או""ח","כא תמוז תשע""ח"
05/07/18,נדרים,יא,ב-ג,שכט,ז-ט,"שו""ע או""ח","כב תמוז תשע""ח"
06/07/18,נדרים,יא,ד-ה,של,א-ג,"שו""ע או""ח","כג תמוז תשע""ח"
07/07/18,נדרים,יא,ו-ז,של,ד-ו,"שו""ע או""ח","כד תמוז תשע""ח"
08/07/18,נדרים,יא,ח-ט,של,ז-ט,"שו""ע או""ח","כה תמוז תשע""ח"
09/07/18,נדרים,יא,י-יא,של-א,י-א,"שו""ע או""ח","כו תמוז תשע""ח"
10/07/18,נדרים-נזיר,יא-א,יב-א,שלא,ב-ד,"שו""ע או""ח","כז תמוז תשע""ח"
11/07/18,נזיר,א,ב-ג,שלא,ה-ז,"שו""ע או""ח","כח תמוז תשע""ח"
12/07/18,נזיר,א,ד-ה,שלא,ח-י,"שו""ע או""ח","כט תמוז תשע""ח"
13/07/18,נזיר,א,ו-ז,שלב,א-ג,"שו""ע או""ח","א אב תשע""ח"
14/07/18,נזיר,ב,א-ב,שלב-ג,ד-ב,"שו""ע או""ח","ב אב תשע""ח"
15/07/18,נזיר,ב,ג-ד,שלג-ד,ג-ב,"שו""ע או""ח","ג אב תשע""ח"
16/07/18,נזיר,ב,ה-ו,שלד,ג-ה,"שו""ע או""ח","ד אב תשע""ח"
17/07/18,נזיר,ב,ז-ח,שלד,ו-ח,"שו""ע או""ח","ה אב תשע""ח"
18/07/18,נזיר,ב,ט-י,שלד,ט-יא,"שו""ע או""ח","ו אב תשע""ח"
19/07/18,נזיר,ג,א-ב,שלד,יב-יד,"שו""ע או""ח","ז אב תשע""ח"
20/07/18,נזיר,ג,ג-ד,שלד,טו-יז,"שו""ע או""ח","ח אב תשע""ח"
21/07/18,נזיר,ג,ה-ו,שלד,יח-כ,"שו""ע או""ח","ט אב תשע""ח"
22/07/18,נזיר,ג-ד,ז-א,שלד,כא-כג,"שו""ע או""ח","י אב תשע""ח"
23/07/18,נזיר,ד,ב-ג,שלד,כד-כו,"שו""ע או""ח","יא אב תשע""ח"
24/07/18,נזיר,ד,ד-ה,שלד-ה,כ-זב,"שו""ע או""ח","יב אב תשע""ח"
25/07/18,נזיר,ד,ו-ז,שלה,ג-ה,"שו""ע או""ח","יג אב תשע""ח"
26/07/18,נזיר,ה,א-ב,שלו,א-ג,"שו""ע או""ח","יד אב תשע""ח"
27/07/18,נזיר,ה,ג-ד,שלו,ד-ו,"שו""ע או""ח","טו אב תשע""ח"
28/07/18,נזיר,ה,ה-ו,שלו,ז-ט,"שו""ע או""ח","טז אב תשע""ח"
29/07/18,נזיר,ה-ו,ז-א,שלו,י-יב,"שו""ע או""ח","יז אב תשע""ח"
30/07/18,נזיר,ו,ב-ג,שלו-ז,יג-ב,"שו""ע או""ח","יח אב תשע""ח"
31/07/18,נזיר,ו,ד-ה,שלז-ח,ג-א,"שו""ע או""ח","יט אב תשע""ח"
01/08/18,נזיר,ו,ו-ז,שלח,ב-ד,"שו""ע או""ח","כ אב תשע""ח"
02/08/18,נזיר,ו,ח-ט,שלח,ה-ז,"שו""ע או""ח","כא אב תשע""ח"
03/08/18,נזיר,ו,י-יא,שלח-ט,ח-ב,"שו""ע או""ח","כב אב תשע""ח"
04/08/18,נזיר,ז,א-ב,שלט,ג-ה,"שו""ע או""ח","כג אב תשע""ח"
05/08/18,נזיר,ז,ג-ד,שלט-מ,ו-א,"שו""ע או""ח","כד אב תשע""ח"
06/08/18,נזיר,ח,א-ב,שמ,ב-ד,"שו""ע או""ח","כה אב תשע""ח"
07/08/18,נזיר,ט,א-ב,שמ,ה-ז,"שו""ע או""ח","כו אב תשע""ח"
08/08/18,נזיר,ט,ג-ד,שמ,ח-י,"שו""ע או""ח","כז אב תשע""ח"
09/08/18,נזיר-סוטה,ט-א,ה-א,שמ,יא-יב,"שו""ע או""ח","כח אב תשע""ח"
10/08/18,סוטה,א,ב-ג,שמ-א,יד-ב,"שו""ע או""ח","כט אב תשע""ח"
11/08/18,סוטה,א,ד-ה,שמא-ב-ג,ג-א,"שו""ע או""ח","ל אב תשע""ח"
12/08/18,סוטה,א,ו-ז,שמד-ה,א-א,"שו""ע או""ח","א אלול תשע""ח"
13/08/18,סוטה,א,ח-ט,שמה,ב-ד,"שו""ע או""ח","ב אלול תשע""ח"
14/08/18,סוטה,ב,א-ב,שמה,ה-ז,"שו""ע או""ח","ג אלול תשע""ח"
15/08/18,סוטה,ב,ג-ד,שמה,ח-י,"שו""ע או""ח","ד אלול תשע""ח"
16/08/18,סוטה,ב,ה-ו,שמה,יא-יג,"שו""ע או""ח","ה אלול תשע""ח"
17/08/18,סוטה,ג,א-ב,שמה,יד-טז,"שו""ע או""ח","ו אלול תשע""ח"
18/08/18,סוטה,ג,ג-ד,שמה,יז-יט,"שו""ע או""ח","ז אלול תשע""ח"
19/08/18,סוטה,ג,ה-ו,שמו,א-ג,"שו""ע או""ח","ח אלול תשע""ח"
20/08/18,סוטה,ג,ז-ח,שמז-ח-ט,א-א,"שו""ע או""ח","ט אלול תשע""ח"
21/08/18,סוטה,ד,א-ב,שמט,ב-ד,"שו""ע או""ח","י אלול תשע""ח"
22/08/18,סוטה,ד,ג-ד,שמט-נ,ה-ב,"שו""ע או""ח","יא אלול תשע""ח"
23/08/18,סוטה,ד-ה,ה-א,שנ-א-ב,ג-א,"שו""ע או""ח","יב אלול תשע""ח"
24/08/18,סוטה,ה,ב-ג,שנב-ג,ב-ב,"שו""ע או""ח","יג אלול תשע""ח"
25/08/18,סוטה,ה,ד-ה,שנג-ד,ג-ב,"שו""ע או""ח","יד אלול תשע""ח"
26/08/18,סוטה,ו,א-ב,שנה,א-ג,"שו""ע או""ח","טו אלול תשע""ח"
27/08/18,סוטה,ו,ג-ד,שנה-ו,ד-א,"שו""ע או""ח","טז אלול תשע""ח"
28/08/18,סוטה,ז,א-ב,שנו-ז,ב-ב,"שו""ע או""ח","יז אלול תשע""ח"
29/08/18,סוטה,ז,ג-ד,שנז-ח,ג-ב,"שו""ע או""ח","יח אלול תשע""ח"
30/08/18,סוטה,ז,ה-ו,שנח,ג-ה,"שו""ע או""ח","יט אלול תשע""ח"
31/08/18,סוטה,ז,ז-ח,שנח,ו-ח,"שו""ע או""ח","כ אלול תשע""ח"
01/09/18,סוטה,ח,א-ב,שנח,ט-יא,"שו""ע או""ח","כא אלול תשע""ח"
02/09/18,סוטה,ח,ג-ד,שנח,יב-יד,"שו""ע או""ח","כב אלול תשע""ח"
03/09/18,סוטה,ח,ה-ו,שנט-ס,א-ב,"שו""ע או""ח","כג אלול תשע""ח"
04/09/18,סוטה,ח-ט,ז-א,שס-א,ג-ב,"שו""ע או""ח","כד אלול תשע""ח"
05/09/18,סוטה,ט,ב-ג,שסב,א-ג,"שו""ע או""ח","כה אלול תשע""ח"
06/09/18,סוטה,ט,ד-ה,שסב,ד-ו,"שו""ע או""ח","כו אלול תשע""ח"
07/09/18,סוטה,ט,ו-ז,שסב,ז-ט,"שו""ע או""ח","כז אלול תשע""ח"
08/09/18,סוטה,ט,ח-ט,שסב,י-יב,"שו""ע או""ח","כח אלול תשע""ח"
09/09/18,סוטה,ט,י-יא,שסג,א-ג,"שו""ע או""ח","כט אלול תשע""ח"
10/09/18,סוטה,ט,יב-יג,שסג,ד-ו,"שו""ע או""ח","א תשרי תשע""ט"
11/09/18,סוטה,ט,יד-טו,שסג,ז-ט,"שו""ע או""ח","ב תשרי תשע""ט"
12/09/18,גיטין,א,א-ב,שסג,י-יב,"שו""ע או""ח","ג תשרי תשע""ט"
13/09/18,גיטין,א,ג-ד,שסג,יג-טו,"שו""ע או""ח","ד תשרי תשע""ט"
14/09/18,גיטין,א,ה-ו,שסג,טז-יח,"שו""ע או""ח","ה תשרי תשע""ט"
15/09/18,גיטין,ב,א-ב,שסג,יט-כא,"שו""ע או""ח","ו תשרי תשע""ט"
16/09/18,גיטין,ב,ג-ד,שסג,כב-כד,"שו""ע או""ח","ז תשרי תשע""ט"
17/09/18,גיטין,ב,ה-ו,שסג,כה-כז,"שו""ע או""ח","ח תשרי תשע""ט"
18/09/18,גיטין,ב-ג,ז-א,שסג,כח-ל,"שו""ע או""ח","ט תשרי תשע""ט"
19/09/18,גיטין,ג,ב-ג,שסג,לא-לג,"שו""ע או""ח","י תשרי תשע""ט"
20/09/18,גיטין,ג,ד-ה,שסג,לד-לו,"שו""ע או""ח","יא תשרי תשע""ט"
21/09/18,גיטין,ג,ו-ז,שסד,א-ג,"שו""ע או""ח","יב תשרי תשע""ט"
22/09/18,גיטין,ג-ד,ח-א,שסד-ה,ד-א,"שו""ע או""ח","יג תשרי תשע""ט"
23/09/18,גיטין,ד,ב-ג,שסה,ב-ד,"שו""ע או""ח","יד תשרי תשע""ט"
24/09/18,גיטין,ד,ד-ה,שסה,ה-ז,"שו""ע או""ח","טו תשרי תשע""ט"
25/09/18,גיטין,ד,ו-ז,שסה-ו,ח-ב,"שו""ע או""ח","טז תשרי תשע""ט"
26/09/18,גיטין,ד,ח-ט,שסו,ג-ה,"שו""ע או""ח","יז תשרי תשע""ט"
27/09/18,גיטין,ה,א-ב,שסו,ו-ח,"שו""ע או""ח","יח תשרי תשע""ט"
28/09/18,גיטין,ה,ג-ד,שסו,ט-יא,"שו""ע או""ח","יט תשרי תשע""ט"
29/09/18,גיטין,ה,ה-ו,שסו,יב-יד,"שו""ע או""ח","כ תשרי תשע""ט"
30/09/18,גיטין,ה,ז-ח,שסו-ז-ח,טו-א,"שו""ע או""ח","כא תשרי תשע""ט"
01/10/18,גיטין,ה-ו,ט-א,שסח,ב-ד,"שו""ע או""ח","כב תשרי תשע""ט"
02/10/18,גיטין,ו,ב-ג,שסח-ט-ע,ה-א,"שו""ע או""ח","כג תשרי תשע""ט"
03/10/18,גיטין,ו,ד-ה,שע,ב-ד,"שו""ע או""ח","כד תשרי תשע""ט"
04/10/18,גיטין,ו,ו-ז,שע,ה-ז,"שו""ע או""ח","כה תשרי תשע""ט"
05/10/18,גיטין,ז,א-ב,שע-א,ח-ב,"שו""ע או""ח","כו תשרי תשע""ט"
06/10/18,גיטין,ז,ג-ד,שעא,ג-ה,"שו""ע או""ח","כז תשרי תשע""ט"
07/10/18,גיטין,ז,ה-ו,שעא-ב,ו-ב,"שו""ע או""ח","כח תשרי תשע""ט"
08/10/18,גיטין,ז,ז-ח,שעב,ג-ה,"שו""ע או""ח","כט תשרי תשע""ט"
09/10/18,גיטין,ז-ח,ט-א,שעב,ו-ח,"שו""ע או""ח","ל תשרי תשע""ט"
10/10/18,גיטין,ח,ב-ג,שעב,ט-יא,"שו""ע או""ח","א חשון תשע""ט"
11/10/18,גיטין,ח,ד-ה,שעב,יב-יד,"שו""ע או""ח","ב חשון תשע""ט"
12/10/18,גיטין,ח,ו-ז,שעב,טו-יז,"שו""ע או""ח","ג חשון תשע""ט"
13/10/18,גיטין,ח,ח-ט,שעב-ג,יח-א,"שו""ע או""ח","ד חשון תשע""ט"
14/10/18,גיטין,ח-ט,י-א,שעד,א-ג,"שו""ע או""ח","ה חשון תשע""ט"
15/10/18,גיטין,ט,ב-ג,שעד-ה,ד-ב,"שו""ע או""ח","ו חשון תשע""ט"
16/10/18,גיטין,ט,ד-ה,שעה-ו,ג-א,"שו""ע או""ח","ז חשון תשע""ט"
17/10/18,גיטין,ט,ו-ז,שעו,ב-ד,"שו""ע או""ח","ח חשון תשע""ט"
18/10/18,גיטין,ט,ח-ט,שעז-ח,א-ב,"שו""ע או""ח","ט חשון תשע""ט"
19/10/18,גיטין-קידושין,ט-א,י-א,שעח,ג-ה,"שו""ע או""ח","י חשון תשע""ט"
20/10/18,קידושין,א,ב-ג,שעט-פ,א-א,"שו""ע או""ח","יא חשון תשע""ט"
21/10/18,קידושין,א,ד-ה,שפ,ב-ד,"שו""ע או""ח","יב חשון תשע""ט"
22/10/18,קידושין,א,ו-ז,שפא,א-ג,"שו""ע או""ח","יג חשון תשע""ט"
23/10/18,קידושין,א,ח-ט,שפא,ד-ו,"שו""ע או""ח","יד חשון תשע""ט"
24/10/18,קידושין,א-ב,י-א,שפא-ב,ז-ב,"שו""ע או""ח","טו חשון תשע""ט"
25/10/18,קידושין,ב,ב-ג,שפב,ג-ה,"שו""ע או""ח","טז חשון תשע""ט"
26/10/18,קידושין,ב,ד-ה,שפב,ו-ח,"שו""ע או""ח","יז חשון תשע""ט"
27/10/18,קידושין,ב,ו-ז,שפב,ט-יא,"שו""ע או""ח","יח חשון תשע""ט"
28/10/18,קידושין,ב,ח-ט,שפב,יב-יד,"שו""ע או""ח","יט חשון תשע""ט"
29/10/18,קידושין,ב-ג,י-א,שפב,טו-יז,"שו""ע או""ח","כ חשון תשע""ט"
